RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B3-027850,2013/03/30 00:00:00+00,1630,"N 70,W to X",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,2097
B3-024313,2013/03/21 00:00:00+00,750,"SOUTH,JEFFERSON to S 30",INJURY,OTHER,2,1,NO,NO,NO,NO,NO,NO,NO,2098
B3-027164,2013/03/28 00:00:00+00,1702,"S 27,TIERRA to TIPPERARY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2099
B3-028741,2013/04/01 00:00:00+00,1555,"N 27,FAIRFIELD to KNOX",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,2100
B3-025769,2013/03/24 00:00:00+00,115,S 27 at TIERRA,NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,2101
B3-026520,2013/03/26 00:00:00+00,1235,1624 SOUTH ST at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2102
B3-023559,2013/03/18 00:00:00+00,1145,3600 N 20 at FEDERAL EXPRESS,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,2103
B3-024945,1970/01/01 00:00:00+00,9999,"JAMESON NORTH,MOOR to BRIAR ROSA",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2104
B3-027854,2013/03/30 00:00:00+00,1700,9 at O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,2105
B3-024329,2013/03/21 00:00:00+00,752,"SUPERIOR,N 7 to OGDEN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2106
B3-027178,2013/03/28 00:00:00+00,1657,"S 9,PARK AV to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2107
B3-026528,2013/03/26 00:00:00+00,1245,"N 44,O to Q",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2108
B3-028754,2013/04/01 00:00:00+00,1550,"O,48 to 50",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2109
B3-025777,2013/03/24 00:00:00+00,158,N 30 at ORCHARD,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,2110
B3-023585,2013/03/19 00:00:00+00,9999,"S 16,D to E",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,2111
B3-025002,2013/03/21 00:00:00+00,945,"N 1,IRVING to SUPERIOR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2112
B3-027859,2013/03/30 00:00:00+00,1728,"N 27,CLINTON to POTTER",NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,2113
