DATE,TIME,RACE,SEX,REASON,OUTCOME,SEARCH,FID
2017/01/04 00:00:00+00,02:45:XX,1,1,1,4,5,278
2017/01/04 00:00:00+00,02:50:XX,1,1,3,5,1,279
2017/01/04 00:00:00+00,03:23:XX,1,1,2,3,4,280
2017/01/04 00:00:00+00,07:39:XX,1,2,1,2,1,281
2017/01/04 00:00:00+00,07:40:XX,1,2,1,2,1,282
2017/01/04 00:00:00+00,07:49:XX,1,2,1,2,1,283
2017/01/04 00:00:00+00,08:03:XX,1,1,1,2,1,284
2017/01/04 00:00:00+00,08:09:XX,3,1,1,2,1,285
2017/01/04 00:00:00+00,08:16:XX,1,2,1,2,1,286
2017/01/04 00:00:00+00,08:20:XX,1,2,1,2,1,287
2017/01/04 00:00:00+00,08:26:XX,1,2,1,2,1,288
2017/01/04 00:00:00+00,08:40:XX,1,2,1,2,1,289
2017/01/04 00:00:00+00,08:40:XX,1,1,1,1,1,290
2017/01/04 00:00:00+00,08:41:XX,1,1,1,2,1,291
2017/01/04 00:00:00+00,08:52:XX,1,2,1,2,1,292
2017/01/04 00:00:00+00,08:52:XX,1,2,1,2,1,293
2017/01/04 00:00:00+00,08:53:XX,1,2,1,2,1,294
2017/01/04 00:00:00+00,08:55:XX,1,2,1,2,1,295
2017/01/04 00:00:00+00,09:06:XX,1,2,1,2,1,296
2017/01/04 00:00:00+00,09:07:XX,1,2,1,2,1,297
2017/01/04 00:00:00+00,09:14:XX,1,1,1,2,1,298
2017/01/04 00:00:00+00,09:18:XX,1,2,1,1,1,299
2017/01/04 00:00:00+00,09:18:XX,3,1,1,2,1,300
2017/01/04 00:00:00+00,14:39:XX,1,1,1,1,1,301
2017/01/04 00:00:00+00,14:41:XX,1,2,1,2,1,302
2017/01/04 00:00:00+00,14:49:XX,1,2,1,2,1,303
2017/01/04 00:00:00+00,14:50:XX,2,1,1,3,1,304
2017/01/04 00:00:00+00,14:52:XX,2,1,1,1,1,305
2017/01/04 00:00:00+00,14:55:XX,1,2,1,2,1,306
2017/01/04 00:00:00+00,15:01:XX,1,1,1,2,1,307
2017/01/04 00:00:00+00,15:02:XX,1,1,1,2,1,308
2017/01/04 00:00:00+00,15:07:XX,6,2,1,2,1,309
2017/01/04 00:00:00+00,15:09:XX,1,2,1,2,1,310
2017/01/04 00:00:00+00,15:21:XX,1,1,1,1,1,311
2017/01/04 00:00:00+00,15:22:XX,2,1,1,3,1,312
2017/01/04 00:00:00+00,15:27:XX,1,2,1,2,1,313
2017/01/04 00:00:00+00,15:33:XX,1,1,1,2,1,314
2017/01/04 00:00:00+00,16:03:XX,1,1,1,2,1,315
2017/01/04 00:00:00+00,16:35:XX,1,1,1,2,1,316
2017/01/04 00:00:00+00,17:00:XX,1,2,1,1,1,317
2017/01/04 00:00:00+00,18:35:XX,1,2,1,2,1,318
2017/01/04 00:00:00+00,18:49:XX,1,1,1,1,1,319
2017/01/04 00:00:00+00,18:55:XX,4,2,1,1,1,320
2017/01/04 00:00:00+00,20:00:XX,1,2,1,1,1,321
2017/01/04 00:00:00+00,20:15:XX,1,1,1,1,1,322
2017/01/04 00:00:00+00,20:17:XX,1,1,1,1,1,323
2017/01/04 00:00:00+00,21:00:XX,1,1,1,1,1,324
2017/01/04 00:00:00+00,21:53:XX,1,1,1,1,1,325
2017/01/04 00:00:00+00,22:30:XX,1,2,1,1,1,326
2017/01/04 00:00:00+00,22:37:XX,3,2,1,1,1,327
2017/01/04 00:00:00+00,22:49:XX,2,1,1,1,1,328
2017/01/05 00:00:00+00,00:15:XX,1,2,1,5,1,329
2017/01/05 00:00:00+00,00:35:XX,1,1,1,1,1,330
